series_id,n_train,blocked,forecastability_class,recommended_families,triage_model,smape_triage,smape_naive,mase_triage,mase_naive,smape_arima,mase_arima,smape_ets,mase_ets,oracle_model,triage_matches_oracle,route_type,triage_wins,error
M43117,156,False,high,arima,AutoARIMA,21.614166344760868,20.362501596701975,1.2865146736449609,1.1803270551765845,21.614166344760868,1.2865146736449609,27.927097342504986,1.5845950378646059,SeasonalNaive,False,complex_routed,False,
M43287,211,False,high,arima|ets|linear_state_space,AutoARIMA,5.128504038878896,6.021754810089827,1.0515102524818611,1.217125382262997,5.128504038878896,1.0515102524818611,5.067045343204734,1.0392848314707597,ETS,False,complex_routed,True,
M43477,295,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,10.213139384958318,18.189279843204023,0.6148489645148726,1.0410602884963425,10.213139384958318,0.6148489645148726,10.440348580457485,0.6276224364818115,AutoARIMA,True,complex_routed,True,
M43486,295,False,high,arima|ets|linear_state_space,AutoARIMA,27.97198948754745,23.92745450107587,3.1379165371901347,2.5658739832139745,27.97198948754745,3.1379165371901347,23.37292836022035,2.496610819615686,ETS,False,complex_routed,False,
M43657,163,False,high,arima|ets|linear_state_space,AutoARIMA,9.849736084651479,18.172108419534485,1.789341825709713,3.1379060877293927,9.849736084651479,1.789341825709713,10.483416791046395,1.897244501790558,AutoARIMA,True,complex_routed,True,
M43773,163,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,3.164927863179238,4.9897476244852985,0.10041152356843304,0.16097939667003267,3.164927863179238,0.10041152356843304,3.1651905465361603,0.10041999014105242,AutoARIMA,True,complex_routed,True,
M44433,175,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,15.94773872512539,21.826649587366685,0.7508060678346259,0.9911637457788455,15.94773872512539,0.7508060678346259,15.741110361220285,0.74183891993933,ETS,False,complex_routed,True,
M44448,175,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,5.031233284855019,11.660295302157413,0.3972547584463567,0.8697741774076212,5.031233284855019,0.3972547584463567,2.6038586814674147,0.20691359683747418,ETS,False,complex_routed,True,
M46381,142,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,13.170745785318452,22.961502811484902,0.6641276821470906,1.4603164656394667,13.170745785318452,0.6641276821470906,7.758781629016707,0.4064408382447532,ETS,False,complex_routed,True,
M4658,150,False,high,naive|seasonal_naive|downscope,SeasonalNaive,28.020797638179683,28.020797638179683,1.577618204057531,1.577618204057531,23.52390700294039,1.3381243262295228,22.90421512267985,1.3030949788522446,ETS,False,naive_routed,False,
M4759,294,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,8.163692609316769,11.224028451532062,0.9371514547365656,1.2461144633388188,8.163692609316769,0.9371514547365656,5.548794335766269,0.6595803603824633,ETS,False,complex_routed,True,
M47970,172,False,high,arima|ets|linear_state_space,AutoARIMA,4.273549322650405,4.568879086716607,0.8510668732601487,0.897836399398357,4.273549322650405,0.8510668732601487,2.8606791123728668,0.5634693392052534,ETS,False,complex_routed,True,
M5294,271,False,high,seasonal_naive|harmonic_regression|tbats,ETS,0.9103117941965497,1.7389027870182336,0.5896107505393429,1.1203675144438516,0.8772194793680098,0.5685986361834715,0.9103117941965497,0.5896107505393429,AutoARIMA,False,complex_routed,True,
M5395,271,False,high,seasonal_naive|harmonic_regression|tbats,ETS,0.5380586889664607,1.8314676959525475,0.468641733097673,1.613317934803628,0.5230369695134631,0.4550564317958312,0.5380586889664607,0.468641733097673,AutoARIMA,False,complex_routed,True,
M5864,150,False,high,arima,AutoARIMA,26.435224453918927,34.90147126390426,1.279722066926278,1.5848415144018635,26.435224453918927,1.279722066926278,24.41943137008966,1.1742465160778248,ETS,False,complex_routed,True,
M6762,564,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,1.0420478367439554,8.741779109726005,0.15387843776230684,1.2270527823038564,1.0420478367439554,0.15387843776230684,1.0420547925359454,0.15387946085523285,AutoARIMA,True,complex_routed,True,
M6846,186,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,3.282301750936515,2.671893359320947,1.0847992515163354,0.9035984284293627,3.282301750936515,1.0847992515163354,3.3437473319582987,1.1028592759079265,SeasonalNaive,False,complex_routed,False,
M6975,92,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,4.9021165649011404,9.882947779040208,0.18632574323236425,0.36555599622885243,4.9021165649011404,0.18632574323236425,4.902000330827123,0.18632149322128808,ETS,False,complex_routed,True,
